target,n,T,alpha,kernel,gap,ess_per_step,ess_per_step_se,ess_per_sec,accept_rate,split_rhat,gated_out,D3_width
chain,6,0.3,0.5,single_flip,nan,0.5014973659928595,0.35249459294580465,87174.09469558627,0.00275,1.4432945405624837,True,10.241932316991697
chain,6,0.3,0.5,uniform,nan,0.01622241159207049,0.0035665323856382994,2765.670071483381,0.023,1.0079335993008043,False,10.241932316991697
chain,6,0.3,0.5,walk_g0,0.0034221340707902836,0.0401322143654945,0.027000610357400447,5971.359901389881,0.60825,2.074194701292064,True,10.241932316991697
chain,6,0.3,0.5,walk_g0.1,0.0011161830845890508,0.04515892896885839,0.030736378930808973,6752.853846075221,0.68675,1.8283944711304068,True,10.241932316991697
chain,6,0.3,0.5,walk_g10,2.7996871128088685e-06,0.501371166232499,0.35258382965213964,74393.27772146731,0.992,1.270391032876716,True,10.241932316991697
