target,n,T,alpha,kernel,gap,ess_per_step,ess_per_step_se,ess_per_sec,accept_rate,split_rhat,gated_out,D3_width
chain,6,0.1,0.05,single_flip,nan,0.40602389688843915,0.1464756703378839,71198.98634896704,4.000000000000001e-05,69.64059131717835,True,15.234327978711748
chain,6,0.1,0.05,uniform,nan,0.008401942020747075,0.0018756074870215217,1471.046494220203,0.0158,1.0034507981251977,False,15.234327978711748
chain,6,0.1,0.05,walk_g0,4.183877466701347e-09,0.20076983466092538,0.1787134988933447,30610.42021350623,0.9978279999999999,5.107076376793857,True,15.234327978711748
chain,6,0.1,0.05,walk_g0.03,2.9483936403451594e-09,0.2009209980868162,0.17867968990380637,31250.04742718907,0.9980439999999999,5.489608053154101,True,15.234327978711748
chain,6,0.1,0.05,walk_g0.1,1.5040203527050267e-09,0.20014231993571166,0.17885361730106772,30895.16252098778,0.99838,2.2052264099842787,True,15.234327978711748
chain,6,0.1,0.05,walk_g0.3,4.248263962836063e-10,0.20019217300077377,0.1788425070314639,29430.124503427396,0.999,2.2118694222701993,True,15.234327978711748
chain,6,0.1,0.05,walk_g1,5.81650283493218e-11,0.20007293456795092,0.17886913017745065,30858.157132679375,0.9995799999999999,3.1136808947646473,True,15.234327978711748
chain,6,0.1,0.05,walk_g3,7.889355835288825e-12,0.4000769130962147,0.2190609392331761,62904.84978460464,0.999852,1.8062470302746407,True,15.234327978711748
chain,6,0.1,0.05,walk_g10,9.343636975245317e-13,0.4000593788326204,0.21906734138229988,62760.10269655249,0.9999559999999998,2.381957451213875,True,15.234327978711748
chain,6,0.1,0.15,single_flip,nan,0.40602389688843915,0.1464756703378839,69958.6565112225,4.000000000000001e-05,69.64059131717835,True,13.772466777311575
chain,6,0.1,0.15,uniform,nan,0.008401942020747075,0.0018756074870215217,1435.7238297463223,0.0158,1.0034507981251977,False,13.772466777311575
chain,6,0.1,0.15,walk_g0,5.021985014508346e-07,0.22312731682558645,0.17449051667912913,31655.387184289044,0.9766640000000001,11.635773660536447,True,13.772466777311575
chain,6,0.1,0.15,walk_g0.03,3.518802695889889e-07,0.22322963169728033,0.17446492152061752,34671.181481167616,0.978044,10.595595771423188,True,13.772466777311575
chain,6,0.1,0.15,walk_g0.1,1.7824224896045848e-07,0.22475515798592743,0.174113093426428,35794.09910434842,0.9814,4.217965060748217,True,13.772466777311575
chain,6,0.1,0.15,walk_g0.3,4.986755852698366e-08,0.2222215554998343,0.17471805299704868,34923.89988577171,0.9884879999999999,6.044544193527517,True,13.772466777311575
chain,6,0.1,0.15,walk_g1,6.607344893438949e-09,0.2012219242553268,0.17861230616628151,31879.25439165347,0.995512,7.21045656578266,True,13.772466777311575
chain,6,0.1,0.15,walk_g3,8.194926959248505e-10,0.20008960667819564,0.17886540159265701,31804.4568849058,0.998452,2.0612849572210097,True,13.772466777311575
chain,6,0.1,0.15,walk_g10,7.914835453703972e-11,0.20016755304575926,0.17884799342347013,30957.784025028104,0.9994759999999999,2.782888126272271,True,13.772466777311575
chain,6,0.1,0.3,single_flip,nan,0.40602389688843915,0.1464756703378839,70141.18102098141,4.000000000000001e-05,69.64059131717835,True,11.90006392296144
chain,6,0.1,0.3,uniform,nan,0.008401942020747075,0.0018756074870215217,1387.8762367202582,0.0158,1.0034507981251977,False,11.90006392296144
chain,6,0.1,0.3,walk_g0,1.7600287477770316e-05,0.03688827504388435,0.0171701145023994,5711.663038290442,0.8779159999999999,3.787585899463991,True,11.90006392296144
chain,6,0.1,0.3,walk_g0.03,1.1409770014680909e-05,0.015713411320475455,0.010750457379618513,2472.0012972114005,0.887748,2.409995385741991,True,11.90006392296144
chain,6,0.1,0.3,walk_g0.1,5.277402669756626e-06,0.006824570290254783,0.002451743058661891,1046.6374387393566,0.9068039999999999,2.929032073103633,True,11.90006392296144
chain,6,0.1,0.3,walk_g0.3,1.3979100046412896e-06,0.20626990505620899,0.17751066074304034,32849.0107802361,0.940724,3.7849974626293132,True,11.90006392296144
chain,6,0.1,0.3,walk_g1,1.851905917504837e-07,0.22173548939792692,0.17483622093781137,34776.68099750705,0.9761840000000002,9.766270973303616,True,11.90006392296144
