T,adv_violation_rel,advantage_cell,alpha,cell,class,envelope,ess_per_step_g0,ess_per_step_g0.316,ess_per_step_g31.6,gamma_star_rel,gap_g0,gap_g0.01,gap_g0.0316,gap_g0.1,gap_g0.316,gap_g1,gap_g10,gap_g100,gap_g3.16,gap_g31.6,gap_sf,gap_uf,interior_peak,l1_violated,n,peak_over_envelope
0.5572150937030689,nan,False,0.3557440546825936,0,e01,0.03173855698967942,0.011516829390120295,0.036037222000123596,0.3340534994675332,0.0,0.0007708925950048462,0.0006923714050932617,0.0005598059140263789,0.00032713948882268085,0.00011971974779623196,3.3621152844554025e-05,2.9182915420866706e-06,2.86379845504392e-07,9.619633502766511e-06,9.098018526332297e-07,0.0008443329731715465,0.03173855698967942,False,False,5,-0.9781851643312454
0.0736311724472527,nan,False,0.2742005776367835,1,sk,0.06255327540029143,,,,0.0,0.01320200158171414,0.009646214512570639,0.005185696210375013,0.0010803080863930337,5.146527431876269e-05,6.395799044822681e-07,6.944829156196874e-10,7.703171434059186e-12,9.942915379923534e-09,6.947875608176446e-11,5.495248700526645e-10,0.06255327540029143,False,False,5,-0.8457920156723608
9.483026588386352,nan,False,0.49393180579053897,2,sk,0.7445785606904509,,,,0.0,0.3874370092476612,0.3711254029112909,0.34204786409109267,0.2774447653237555,0.16849877144979541,0.07108745487895829,0.008044971097283526,0.0008143125642406934,0.024704085402867948,0.0025676053888382677,0.13944454310428844,0.7445785606904509,False,False,5,-0.5015631358400319
0.3508539205040393,nan,False,0.08977526253170208,3,rfim,0.015685536017820856,,,,0.0,7.892538275922067e-05,7.415416981360057e-05,6.532679997117707e-05,4.6514441485512315e-05,2.3133603273328696e-05,8.616548912820932e-06,9.187624631090685e-07,9.24398002588589e-08,2.862339076314946e-06,2.9189269590279565e-07,0.007994550791914024,0.015685536017820856,False,False,6,-0.9952724491066578
0.06086719448127887,nan,False,0.2385255866102745,4,rfim,0.031354830774220854,,,,0.0,0.0017394386029651043,0.0015727124535618309,0.0012789773681106675,0.00072658416446858,0.00020481340107458834,3.014386324096119e-05,3.5353702176887936e-07,3.971940332192503e-09,3.3901694035387564e-06,3.664990255725087e-08,1.5912042516941227e-06,0.031354830774220854,False,False,5,-0.9498414625520838
1.4157601609937336,nan,False,0.6942490924655407,5,sk,0.38297990379486924,,,,0.03162277660168379,0.25154522601228313,0.2715145942309086,0.2969525632261688,0.28847847979056485,0.14518856094332544,0.059174120968597865,0.00677248590983015,0.0006872703291229687,0.02069326322506404,0.002165636935083093,0.16160780319245638,0.38297990379486924,True,False,4,-0.22462625249072643
0.7593582941776771,nan,False,0.6459617656596456,6,sk,0.14706843234870748,,,,0.03162277660168379,0.11798910836788146,0.12120234720150758,0.12337568752104178,0.07244791514602411,0.016675527989629013,0.004679100055552277,0.0004561084216330169,4.5219268786422795e-05,0.0014602015473138552,0.00014332832575125742,0.011754745876928374,0.14706843234870748,True,False,4,-0.16110013854971184
0.5382772893913133,nan,False,0.2753413564655987,7,sk,0.18533737295467279,,,,0.0,0.052742294553381086,0.048266532150020525,0.040779572583059975,0.027375776946264252,0.0133418676155177,0.004950880954832204,0.0005223019440424581,5.2463705054628385e-05,0.0016329078862038493,0.00016572971003558923,0.028337739615413082,0.18533737295467279,False,False,5,-0.7395747474966915
0.1539699717192699,nan,False,0.5214044188862467,8,sk,0.06250005335488673,,,,0.0,0.04499788841653252,0.03279739204362009,0.01747003913003542,0.003487930076144119,0.00015236556046782646,1.6480055820000672e-06,6.144706965471869e-11,1.8740564655672642e-12,8.261646700091774e-09,7.050915407091907e-12,6.342588676488958e-10,0.06250005335488673,False,False,5,-0.47524217527638735
8.993312940703674,nan,False,0.3948418306571969,9,e01,0.48017571201742615,,,,0.0,0.059490233071755605,0.05851723493026306,0.05610351978179873,0.0476897401673112,0.02892269077137577,0.011750612465120658,0.0012838695439110204,0.00012937214398478503,0.003982030560367722,0.00040836959226708824,0.2731156495447087,0.48017571201742615,False,False,5,-0.878133705088067
